Electric Zoo,Inklings Team,Splat Zones on Port Mackerel,Splat Zones on Walleye Warehouse,Splat Zones on Shellendorf Institute
Electric Zoo,Element Tuzki,Rainmaker on Goby Arena,Splat Zones on Port Mackerel,Tower Control on Piranha Pit
Electric Zoo,Limitless,Rainmaker on Port Mackerel,Splat Zones on Kelp Dome,Tower Control on Piranha Pit
Electric Zoo,Akatsuki,Rainmaker on Inkblot Art Academy,Splat Zones on Sturgeon Shipyard,Tower Control on The Reef
Electric Zoo,Team Anonymous,Tower Control on The Reef,Rainmaker on Manta Maria,Splat Zones on Piranha Pit
Electric Zoo,Imagine Squids,Tower Control on Kelp Dome,Rainmaker on Musselforge Fitness,Splat Zones on Piranha Pit
Electric Zoo,Spanish Army,Splat Zones on Walleye Warehouse,Splat Zones on Moray Towers,Splat Zones on Musselforge Fitness
Electric Zoo,Konton Knights I,Rainmaker on The Reef,Splat Zones on Shellendorf Institute,Tower Control on Piranha Pit
Electric Zoo,Hexagone,Tower Control on Kelp Dome,Rainmaker on MakoMart,Splat Zones on Piranha Pit
Electric Zoo,Potatoon,Turf War on Piranha Pit,Splat Zones on Musselforge Fitness,Tower Control on Manta Maria
Electric Zoo,Kairos,Splat Zones on Walleye Warehouse,Splat Zones on Inkblot Art Academy,Splat Zones on Musselforge Fitness
Electric Zoo,XYZ Force,Rainmaker on Kelp Dome,Splat Zones on MakoMart,Tower Control on Port Mackerel
Electric Zoo,Squidlett Overdrive,Rainmaker on Musselforge Fitness,Splat Zones on Shellendorf Institute,Tower Control on Goby Arena
Electric Zoo,PainTShock,Rainmaker on MakoMart,Splat Zones on Walleye Warehouse,Rainmaker on Sturgeon Shipyard
Electric Zoo,GanGan Galaxy,Splat Zones on Inkblot Art Academy,Splat Zones on Walleye Warehouse,Splat Zones on Shellendorf Institute
Electric Zoo,Relief,Rainmaker on MakoMart,Splat Zones on Inkblot Art Academy,Tower Control on Piranha Pit
Electric Zoo,Tenacity,Tower Control on Piranha Pit,Rainmaker on Port Mackerel,Splat Zones on Manta Maria
Electric Zoo,TeamS4,Rainmaker on Goby Arena,Splat Zones on MakoMart,Tower Control on Moray Towers
Electric Zoo,Polarized,Rainmaker on Walleye Warehouse,Splat Zones on Shellendorf Institute,Tower Control on Piranha Pit
Electric Zoo,Killer Bees,Rainmaker on Starfish Mainstage,Splat Zones on Shellendorf Institute,Tower Control on Inkblot Art Academy
Electric Zoo,Seafood Sorbet!,Rainmaker on Piranha Pit,Splat Zones on Inkblot Art Academy,Tower Control on Goby Arena
Electric Zoo,noVC,Tower Control on Sturgeon Shipyard,Rainmaker on Manta Maria,Splat Zones on Port Mackerel
Electric Zoo,Cactus1,Tower Control on Humpback Pump Track,Rainmaker on Piranha Pit,Splat Zones on MakoMart
